station,valid,tmpc,dwpc,relh,alti,mslp
RJAI,1990-09-25 00:00,24.00,20.00,78.34,29.94,M
RJAI,1990-09-25 03:00,27.00,20.00,65.54,29.93,M
RJAI,1990-09-25 06:00,28.00,19.00,58.08,29.92,M
RJAI,1990-09-26 00:00,19.00,19.00,100.00,30.16,M
RJAI,1990-09-26 03:00,19.00,18.00,93.92,30.15,M
RJAI,1990-09-26 06:00,19.00,18.00,93.92,30.14,M
RJAI,1990-09-27 00:00,19.00,15.00,77.60,30.22,M
RJAI,1990-09-27 03:00,21.00,15.00,68.55,30.17,M
RJAI,1990-09-27 06:00,22.00,14.00,60.44,30.13,M
RJAI,1990-09-28 00:00,21.00,14.00,64.26,30.06,M
RJAI,1990-09-28 03:00,24.00,15.00,57.12,29.99,M
RJAI,1990-09-28 06:00,21.00,16.00,73.09,29.94,M
RJAI,1990-09-29 00:00,21.00,17.00,77.90,30.01,M
RJAI,1990-09-29 03:00,23.00,18.00,73.44,29.99,M
RJAI,1990-09-29 22:00,19.00,19.00,100.00,30.04,M
RJAI,1990-09-29 23:00,19.00,19.00,100.00,30.01,M
RJAI,1990-09-30 00:00,19.00,19.00,100.00,30.01,M
RJAI,1990-09-30 01:00,19.00,19.00,100.00,30.01,M
RJAI,1990-09-30 02:00,20.00,20.00,100.00,29.98,M
RJAI,1990-09-30 03:00,20.00,20.00,100.00,29.97,M
RJAI,1990-09-30 04:00,21.00,20.00,94.01,29.94,M
RJAI,1990-09-30 05:00,20.00,20.00,100.00,29.91,M
RJAI,1990-10-01 00:00,22.00,17.00,73.27,29.77,M
RJAI,1990-10-01 03:00,25.00,19.00,69.33,29.75,M
RJAI,1990-10-01 06:00,26.00,20.00,69.52,29.73,M
RJAI,1990-10-02 00:00,22.00,17.00,73.27,29.97,M
RJAI,1990-10-02 03:00,23.00,17.00,68.94,29.99,M
RJAI,1990-10-02 06:00,23.00,17.00,68.94,30.00,M
RJAI,1990-10-03 00:00,20.00,15.00,72.92,30.25,M
RJAI,1990-10-03 03:00,23.00,16.00,64.69,30.21,M
RJAI,1990-10-04 00:00,20.00,18.00,88.26,30.13,M
RJAI,1990-10-04 03:00,25.00,19.00,69.33,30.05,M
RJAI,1990-10-04 06:00,26.00,20.00,69.52,30.02,M
RJAI,1990-10-05 00:00,23.00,19.00,78.19,29.99,M
RJAI,1990-10-05 03:00,26.00,20.00,69.52,29.97,M
RJAI,1990-10-05 06:00,27.00,20.00,65.54,29.93,M
RJAI,1990-10-06 00:00,22.00,20.00,88.43,29.95,M
RJAI,1990-10-06 03:00,25.00,22.00,83.44,29.88,M
RJAI,1990-10-06 22:00,20.00,12.00,59.97,29.98,M
RJAI,1990-10-06 23:00,20.00,13.00,64.04,30.00,M
RJAI,1990-10-07 00:00,20.00,13.00,64.04,30.01,M
RJAI,1990-10-07 01:00,20.00,14.00,68.35,30.01,M
RJAI,1990-10-07 02:00,22.00,14.00,60.44,29.99,M
RJAI,1990-10-07 03:00,22.00,13.00,56.63,29.99,M
RJAI,1990-10-07 04:00,22.00,13.00,56.63,29.97,M
RJAI,1990-10-07 05:00,21.00,15.00,68.55,29.95,M
RJAI,1990-10-08 00:00,16.00,16.00,100.00,29.68,M
RJAI,1990-10-08 03:00,18.00,17.00,93.88,29.57,M
RJAI,1990-10-08 06:00,19.00,19.00,100.00,29.41,M
RJAI,1990-10-09 00:00,20.00,11.00,56.13,29.93,M
RJAI,1990-10-09 03:00,21.00,11.00,52.77,29.93,M
RJAI,1990-10-09 06:00,20.00,12.00,59.97,29.94,M
RJAI,1990-10-11 00:00,13.00,7.00,66.91,30.42,M
RJAI,1990-10-11 03:00,17.00,5.00,45.04,30.39,M
RJAI,1990-10-11 06:00,19.00,6.00,42.57,30.33,M
RJAI,1990-10-12 00:00,15.00,9.00,67.33,30.34,M
RJAI,1990-10-12 03:00,18.00,9.00,55.63,30.28,M
RJAI,1990-10-12 06:00,20.00,11.00,56.13,30.23,M
RJAI,1990-10-15 00:00,22.00,16.00,68.75,29.98,M
RJAI,1990-10-15 03:00,22.00,17.00,73.27,29.98,M
RJAI,1990-10-15 06:00,19.00,17.00,88.18,29.97,M
RJAI,1990-10-16 00:00,19.00,16.00,82.74,29.99,M
RJAI,1990-10-16 03:00,21.00,16.00,73.09,29.94,M
RJAI,1990-10-16 06:00,22.00,17.00,73.27,29.91,M
RJAI,1990-10-17 00:00,19.00,15.00,77.60,30.05,M
RJAI,1990-10-17 03:00,21.00,16.00,73.09,30.01,M
RJAI,1990-10-17 06:00,22.00,16.00,68.75,29.97,M
RJAI,1990-10-18 00:00,20.00,17.00,82.86,29.91,M
RJAI,1990-10-18 03:00,22.00,16.00,68.75,29.87,M
RJAI,1990-10-18 06:00,23.00,16.00,64.69,29.83,M
RJAI,1990-10-19 00:00,18.00,7.00,48.55,29.94,M
RJAI,1990-10-19 03:00,21.00,6.00,37.61,29.90,M
RJAI,1990-10-19 06:00,22.00,6.00,35.37,29.88,M
RJAI,1990-10-20 00:00,16.00,8.00,59.01,30.05,M
RJAI,1990-10-20 03:00,20.00,8.00,45.88,30.01,M
RJAI,1990-10-22 00:00,15.00,8.00,62.92,30.13,M
RJAI,1990-10-22 03:00,18.00,9.00,55.63,30.08,M
RJAI,1990-10-22 06:00,19.00,8.00,48.83,30.05,M
RJAI,1990-10-23 00:00,15.00,8.00,62.92,30.16,M
RJAI,1990-10-23 03:00,18.00,9.00,55.63,30.09,M
RJAI,1990-10-23 06:00,19.00,10.00,55.88,30.06,M
RJAI,1990-10-24 00:00,14.00,13.00,93.69,30.07,M
RJAI,1990-10-24 03:00,17.00,12.00,72.38,30.00,M
RJAI,1990-10-24 06:00,18.00,12.00,67.95,29.98,M
RJAI,1990-10-25 00:00,15.00,10.00,72.01,30.01,M
RJAI,1990-10-25 03:00,18.00,9.00,55.63,29.96,M
RJAI,1990-10-25 06:00,19.00,8.00,48.83,29.90,M
RJAI,1990-10-26 00:00,14.00,14.00,100.00,29.56,M
RJAI,1990-10-26 03:00,18.00,15.00,82.62,29.49,M
RJAI,1990-10-26 06:00,21.00,12.00,56.38,29.43,M
RJAI,1990-10-29 00:00,13.00,7.00,66.91,30.33,M
RJAI,1990-10-29 03:00,17.00,8.00,55.37,30.28,M
RJAI,1990-10-29 06:00,18.00,8.00,51.98,30.26,M
RJAI,1990-10-30 00:00,13.00,10.00,81.99,30.30,M
RJAI,1990-10-30 03:00,13.00,12.00,93.65,30.27,M
RJAI,1990-10-30 06:00,13.00,12.00,93.65,30.19,M
RJAI,1990-10-31 00:00,14.00,11.00,82.12,30.03,M
RJAI,1990-10-31 03:00,19.00,10.00,55.88,29.99,M
RJAI,1990-10-31 06:00,20.00,11.00,56.13,29.97,M
RJAI,1990-11-01 00:00,14.00,8.00,67.12,30.12,M
RJAI,1990-11-01 03:00,18.00,10.00,59.50,30.08,M
RJAI,1990-11-01 06:00,19.00,12.00,63.82,30.02,M
RJAI,1990-11-02 00:00,15.00,7.00,58.77,30.03,M
RJAI,1990-11-02 03:00,18.00,9.00,55.63,29.99,M
RJAI,1990-11-02 06:00,20.00,11.00,56.13,29.95,M
RJAI,1990-11-05 00:00,17.00,13.00,77.29,29.65,M
RJAI,1990-11-05 03:00,23.00,10.00,43.69,29.69,M
RJAI,1990-11-05 06:00,23.00,8.00,38.18,29.74,M
RJAI,1990-11-06 00:00,15.00,9.00,67.33,30.02,M
RJAI,1990-11-06 03:00,19.00,9.00,52.25,29.97,M
RJAI,1990-11-06 06:00,21.00,13.00,60.21,29.92,M
RJAI,1990-11-07 00:00,16.00,11.00,72.20,30.17,M
RJAI,1990-11-07 03:00,20.00,11.00,56.13,29.82,M
RJAI,1990-11-07 06:00,21.00,12.00,56.38,29.78,M
RJAI,1990-11-08 00:00,16.00,5.00,48.00,30.08,M
RJAI,1990-11-08 03:00,19.00,4.00,37.03,30.07,M
RJAI,1990-11-08 06:00,20.00,5.00,37.32,30.08,M
RJAI,1990-11-09 00:00,14.00,5.00,54.60,30.16,M
RJAI,1990-11-09 03:00,13.00,5.00,58.27,30.08,M
RJAI,1990-11-09 06:00,14.00,6.00,58.52,29.93,M
RJAI,1990-11-09 21:00,15.00,12.00,82.25,29.26,M
RJAI,1990-11-09 22:00,15.00,13.00,87.83,29.29,M
RJAI,1990-11-09 23:00,16.00,14.00,87.92,29.30,M
RJAI,1990-11-10 00:00,18.00,13.00,72.56,29.33,M
RJAI,1990-11-10 03:00,22.00,12.00,53.03,29.33,M
RJAI,1990-11-10 06:00,20.00,15.00,72.92,29.38,M
RJAI,1990-11-10 22:00,7.00,-5.00,42.14,29.88,M
RJAI,1990-11-10 23:00,8.00,-4.00,42.44,29.91,M
RJAI,1990-11-11 00:00,10.00,-4.00,37.08,29.93,M
RJAI,1990-11-11 01:00,11.00,-6.00,29.82,29.93,M
RJAI,1990-11-11 02:00,13.00,-3.00,32.76,29.91,M
RJAI,1990-11-11 03:00,13.00,-2.00,35.28,29.90,M
RJAI,1990-11-11 04:00,14.00,-1.00,35.57,29.90,M
RJAI,1990-11-11 05:00,14.00,3.00,47.44,29.90,M
RJAI,1990-11-11 06:00,15.00,3.00,44.47,29.90,M
RJAI,1990-11-11 07:00,14.00,3.00,47.44,29.92,M
RJAI,1990-11-12 22:00,10.00,5.00,71.07,30.27,M
RJAI,1990-11-12 23:00,11.00,5.00,66.48,30.29,M
RJAI,1990-11-13 00:00,12.00,5.00,62.23,30.31,M
RJAI,1990-11-13 01:00,14.00,5.00,54.60,30.31,M
RJAI,1990-11-13 02:00,17.00,6.00,48.28,30.29,M
RJAI,1990-11-13 03:00,17.00,6.00,48.28,30.28,M
RJAI,1990-11-13 04:00,19.00,6.00,42.57,30.26,M
RJAI,1990-11-13 05:00,19.00,6.00,42.57,30.25,M
RJAI,1990-11-13 06:00,19.00,7.00,45.60,30.24,M
RJAI,1990-11-13 22:00,12.00,8.00,76.50,30.17,M
RJAI,1990-11-13 23:00,12.00,8.00,76.50,30.17,M
RJAI,1990-11-14 00:00,13.00,8.00,71.64,30.18,M
RJAI,1990-11-14 01:00,15.00,8.00,62.92,30.16,M
RJAI,1990-11-14 02:00,16.00,8.00,59.01,30.14,M
RJAI,1990-11-14 03:00,17.00,8.00,55.37,30.10,M
RJAI,1990-11-14 04:00,18.00,9.00,55.63,30.07,M
RJAI,1990-11-14 05:00,19.00,9.00,52.25,30.05,M
RJAI,1990-11-14 06:00,19.00,9.00,52.25,30.03,M
RJAI,1990-11-14 07:00,18.00,10.00,59.50,30.03,M
RJAI,1990-11-14 21:00,12.00,7.00,71.45,29.99,M
RJAI,1990-11-14 22:00,11.00,8.00,81.74,30.01,M
RJAI,1990-11-14 23:00,12.00,7.00,71.45,30.02,M
RJAI,1990-11-15 00:00,13.00,7.00,66.91,30.02,M
RJAI,1990-11-15 03:00,18.00,7.00,48.55,29.99,M
RJAI,1990-11-15 06:00,19.00,9.00,52.25,29.96,M
RJAI,1990-11-16 00:00,13.00,2.00,47.16,30.30,M
RJAI,1990-11-16 01:00,13.00,4.00,54.34,30.30,M
RJAI,1990-11-16 02:00,15.00,6.00,54.86,30.29,M
RJAI,1990-11-16 03:00,15.00,6.00,54.86,30.26,M
RJAI,1990-11-16 06:00,16.00,8.00,59.01,30.20,M
RJAI,1990-11-17 00:00,13.00,7.00,66.91,30.21,M
RJAI,1990-11-17 01:00,15.00,7.00,58.77,30.20,M
RJAI,1990-11-17 02:00,17.00,7.00,51.72,30.19,M
RJAI,1990-11-17 03:00,18.00,6.00,45.32,30.16,M
RJAI,1990-11-18 00:00,14.00,9.00,71.83,30.27,M
RJAI,1990-11-19 00:00,14.00,10.00,76.82,30.18,M
RJAI,1990-11-19 03:00,16.00,11.00,72.20,30.15,M
RJAI,1990-11-19 06:00,17.00,12.00,72.38,30.13,M
RJAI,1990-11-20 00:00,14.00,12.00,87.74,30.12,M
RJAI,1990-11-20 03:00,16.00,14.00,87.92,30.02,M
RJAI,1990-11-20 06:00,18.00,15.00,82.62,29.93,M
RJAI,1990-11-21 00:00,14.00,2.00,44.19,29.76,M
RJAI,1990-11-21 03:00,14.00,0.00,38.26,29.82,M
RJAI,1990-11-21 06:00,13.00,-3.00,32.76,29.89,M
RJAI,1990-11-22 00:00,6.00,-9.00,33.18,30.24,M
RJAI,1990-11-22 03:00,10.00,1.00,53.54,30.19,M
RJAI,1990-11-22 06:00,12.00,4.00,58.02,30.16,M
RJAI,1990-11-26 00:00,11.00,5.00,66.48,30.21,M
RJAI,1990-11-26 03:00,14.00,7.00,62.69,30.17,M
RJAI,1990-11-26 06:00,16.00,10.00,67.54,30.10,M
RJAI,1990-11-27 00:00,11.00,8.00,81.74,30.29,M
RJAI,1990-11-27 03:00,15.00,8.00,62.92,30.26,M
RJAI,1990-11-27 06:00,16.00,8.00,59.01,30.23,M
RJAI,1990-11-28 03:00,11.00,10.00,93.55,30.20,M
RJAI,1990-11-28 06:00,12.00,11.00,93.60,30.14,M
RJAI,1990-11-29 03:00,12.00,11.00,93.60,30.19,M
RJAI,1990-11-29 06:00,12.00,11.00,93.60,30.18,M
RJAI,1990-11-30 00:00,12.00,12.00,100.00,30.00,M
RJAI,1990-11-30 03:00,15.00,14.00,93.74,29.85,M
RJAI,1990-12-01 00:00,18.00,13.00,72.56,29.49,M
RJAI,1990-12-01 03:00,21.00,13.00,60.21,29.51,M
RJAI,1990-12-03 00:00,10.00,0.00,49.81,30.01,M
RJAI,1990-12-03 03:00,13.00,-1.00,37.97,29.99,M
RJAI,1990-12-03 06:00,14.00,0.00,38.26,30.00,M
RJAI,1990-12-04 00:00,9.00,-3.00,42.73,30.27,M
RJAI,1990-12-04 03:00,13.00,-3.00,32.76,30.24,M
RJAI,1990-12-04 06:00,14.00,-2.00,33.05,30.23,M
RJAI,1990-12-05 00:00,7.00,0.00,61.03,30.38,M
RJAI,1990-12-05 03:00,11.00,0.00,46.59,30.33,M
RJAI,1990-12-05 06:00,13.00,4.00,54.34,30.29,M
RJAI,1990-12-06 00:00,8.00,1.00,61.28,30.37,M
RJAI,1990-12-06 03:00,12.00,0.00,43.61,30.32,M
RJAI,1990-12-06 06:00,14.00,1.00,41.13,30.27,M
RJAI,1990-12-07 00:00,7.00,1.00,65.61,30.29,M
RJAI,1990-12-07 03:00,11.00,1.00,50.08,30.22,M
RJAI,1990-12-07 06:00,14.00,1.00,41.13,30.16,M
RJAI,1990-12-10 00:00,10.00,5.00,71.07,29.89,M
RJAI,1990-12-10 03:00,13.00,3.00,50.64,29.85,M
RJAI,1990-12-10 06:00,17.00,3.00,39.14,29.80,M
RJAI,1990-12-11 00:00,11.00,6.00,71.26,29.94,M
RJAI,1990-12-11 03:00,16.00,7.00,55.12,29.83,M
RJAI,1990-12-11 06:00,16.00,9.00,63.15,29.69,M
RJAI,1990-12-12 00:00,13.00,1.00,43.90,29.77,M
RJAI,1990-12-12 03:00,14.00,0.00,38.26,29.82,M
RJAI,1990-12-12 06:00,13.00,-1.00,37.97,29.83,M
RJAI,1990-12-13 00:00,8.00,-3.00,45.73,30.09,M
RJAI,1990-12-13 03:00,11.00,-4.00,34.69,30.11,M
RJAI,1990-12-13 06:00,12.00,-3.00,34.98,30.11,M
RJAI,1990-12-14 00:00,7.00,0.00,61.03,30.19,M
RJAI,1990-12-14 03:00,12.00,2.00,50.36,30.11,M
RJAI,1990-12-14 06:00,16.00,5.00,48.00,30.03,M
RJAI,1990-12-15 00:00,11.00,1.00,50.08,30.06,M
RJAI,1990-12-15 03:00,12.00,0.00,43.61,30.03,M
RJAI,1990-12-17 00:00,6.00,-3.00,52.45,30.06,M
RJAI,1990-12-17 03:00,9.00,-10.00,24.99,30.02,M
RJAI,1990-12-17 06:00,10.00,-8.00,27.33,30.01,M
RJAI,1990-12-18 00:00,5.00,0.00,70.08,29.79,M
RJAI,1990-12-18 03:00,7.00,-1.00,56.74,29.74,M
RJAI,1990-12-18 06:00,10.00,-3.00,39.95,29.69,M
RJAI,1990-12-19 00:00,7.00,-4.00,45.44,29.93,M
RJAI,1990-12-19 03:00,10.00,-4.00,37.08,29.93,M
RJAI,1990-12-19 06:00,11.00,-4.00,34.69,29.94,M
RJAI,1990-12-20 00:00,5.00,-3.00,56.22,30.13,M
RJAI,1990-12-20 03:00,8.00,-4.00,42.44,30.08,M
RJAI,1990-12-20 06:00,9.00,-2.00,46.02,30.06,M
RJAI,1990-12-21 00:00,8.00,1.00,61.28,30.06,M
RJAI,1990-12-21 03:00,7.00,4.00,81.20,30.00,M
RJAI,1990-12-21 06:00,9.00,4.00,70.88,29.96,M
RJAI,1990-12-25 00:00,7.00,-5.00,42.14,30.02,M
RJAI,1990-12-25 03:00,10.00,-7.00,29.52,29.98,M
RJAI,1990-12-25 06:00,12.00,-6.00,27.91,29.96,M
RJAI,1990-12-26 00:00,6.00,-3.00,52.45,29.84,M
RJAI,1990-12-26 03:00,8.00,1.00,61.28,29.71,M
RJAI,1990-12-26 06:00,9.00,1.00,57.26,29.55,M
RJAI,1990-12-27 00:00,5.00,-6.00,44.85,29.55,M
RJAI,1990-12-27 03:00,10.00,-6.00,31.87,29.63,M
RJAI,1990-12-27 06:00,10.00,-9.00,25.28,29.71,M
RJAI,1990-12-28 00:00,5.00,-7.00,41.54,30.09,M
RJAI,1990-12-28 03:00,9.00,-9.00,27.04,30.06,M
RJAI,1990-12-28 06:00,10.00,-9.00,25.28,30.01,M
RJAI,1991-01-04 00:00,5.00,-4.00,52.17,29.74,M
RJAI,1991-01-04 03:00,10.00,-4.00,37.08,29.65,M
RJAI,1991-01-04 06:00,11.00,-4.00,34.69,29.64,M
RJAI,1991-01-05 00:00,5.00,-4.00,52.17,29.71,M
RJAI,1991-01-05 03:00,9.00,-5.00,36.78,29.63,M
RJAI,1991-01-07 00:00,3.00,-7.00,47.80,29.97,M
RJAI,1991-01-07 03:00,7.00,-9.00,30.98,29.95,M
RJAI,1991-01-07 06:00,9.00,-10.00,24.99,29.92,M
RJAI,1991-01-08 00:00,3.00,-7.00,47.80,29.62,M
RJAI,1991-01-08 03:00,9.00,-4.00,39.66,29.57,M
RJAI,1991-01-08 06:00,10.00,-5.00,34.39,29.57,M
RJAI,1991-01-09 00:00,4.00,-7.00,44.55,29.70,M
RJAI,1991-01-09 03:00,7.00,-8.00,33.49,29.66,M
RJAI,1991-01-09 06:00,9.00,-9.00,27.04,29.65,M
RJAI,1991-01-10 00:00,6.00,-8.00,35.87,29.85,M
RJAI,1991-01-10 03:00,10.00,-9.00,25.28,29.77,M
RJAI,1991-01-10 06:00,11.00,-3.00,37.38,29.72,M
RJAI,1991-01-11 00:00,6.00,-4.00,48.67,29.89,M
RJAI,1991-01-11 03:00,10.00,-6.00,31.87,29.86,M
RJAI,1991-01-11 06:00,11.00,-4.00,34.69,29.87,M
RJAI,1991-01-14 00:00,6.00,-6.00,41.84,29.97,M
RJAI,1991-01-14 03:00,8.00,-8.00,31.28,29.97,M
RJAI,1991-01-14 06:00,10.00,-7.00,29.52,29.97,M
RJAI,1991-01-16 00:00,3.00,-5.00,55.68,30.23,M
RJAI,1991-01-16 03:00,8.00,-6.00,36.48,30.19,M
